# Fields: KEY VALUE MASKED RAW DESC

CERT_EXPIRATION_STRING,1 week,false,true,Date string to detect soon expiring certificates.
CERT_SYNC,1,false,true,Sync cluster after deployment of new certificates.
CERT_CHAIN,1,false,true,Download certificate with chain in a bundle.
CERT_ROTATE_KEYS,1,false,true,Create new keys.

# Sectico Cert Manager
SCM_CLIENTID,,false,true,SCM OAuth ClientID
SCM_ORG_ID_DEFAULT,,false,true,SCM Organization ID
SCM_SECRET,scmsecret,true,true,SCM OAuth Secret

SCM_PROFILE_DEV,,false,true,SCM Certificate Profile ID
SCM_TERM_DEV,,false,true,SCM Certificate Lifetime in days

SCM_PROFILE_TEST,,false,true,SCM Certificate Profile ID
SCM_TERM_TEST,,false,true,SCM Certificate Lifetime in days

SCM_PROFILE_PROD,,false,true,SCM Certificate Profile ID
SCM_TERM_PROD,,false,true,SCM Certificate Lifetime in days

# Certbot
CERTBOT_EMAIL,,false,true,E-Mail for Certbot.
CERTBOT_SERVER,,false,true,Certbot Server - leave empty for Let's Encrypt.
CERTBOT_EAB_KID,,false,true,Key Identifier for External Account Binding.
CERTBOT_EAB_HMAC,hmackey-for-eab,true,true,HMAC key for External Account Binding.
CERTBOT_ACME_DG,/Common/Shared/acme-challenge,false,true,Datagroup to store the acme challenge.
CERTBOT_STATE_REPO,,false,true,Repository to save the Certbot state between pipeline runs.

# SCEP
SCEP_URI,,false,true,SCEP URI
SCEP_PASS,password,true,true,SCEP Password

# HashiCorp Vault
VAULT_AUTH_ROLE_DEV,,false,true,Vault Authentication Role
VAULT_PKI_DEV,,false,true,Vault Certificate Backend

VAULT_AUTH_ROLE_TEST,,false,true,Vault Authentication Role
VAULT_PKI_TEST,,false,true,Vault Certificate Backend

VAULT_AUTH_ROLE_PROD,,false,true,Vault Authentication Role
VAULT_PKI_PROD,,false,true,Vault Certificate Backend
